6600	0.114437	0.000643	0.000875	0.044276	0.023768		0.023731		0.016979	0.016981
6700	0.116862	0.000625	0.000896	0.045583	0.024488		0.024526		0.017569	0.017734
6800	0.128111	0.000635	0.000900	0.046944	0.026372		0.027044		0.017871	0.017876
6900	0.125743	0.000646	0.000930	0.048468	0.025982		0.025958		0.018590	0.018660
7000	0.129254	0.000688	0.000965	0.050003	0.027141		0.026746		0.019118	0.019087
7100	0.135188	0.000686	0.000944	0.051118	0.031409		0.027333		0.019460	0.019417
7200	0.139983	0.000686	0.000971	0.052790	0.028352		0.028818		0.020256	0.020245
7300	0.142651	0.000699	0.000980	0.054001	0.028568		0.030226		0.020304	0.020349
7400	0.145814	0.000711	0.001001	0.055557	0.029609		0.029573		0.021127	0.021226
7500	0.150395	0.000722	0.001011	0.057312	0.031171		0.030989		0.021938	0.022043
7600	0.155409	0.000730	0.001038	0.058581	0.031436		0.031447		0.022562	0.022464
7700	0.161251	0.000765	0.001043	0.060191	0.032152		0.032212		0.022823	0.022932
7800	0.163285	0.000754	0.001054	0.061790	0.033338		0.033458		0.023878	0.023710
7900	0.169364	0.000759	0.001056	0.065177	0.033648		0.033601		0.027185	0.024030
8000	0.173422	0.000764	0.001093	0.064901	0.034700		0.037779		0.024527	0.024796
8100	0.176767	0.000781	0.001085	0.067178	0.035245		0.035352		0.025170	0.025142
8200	0.181642	0.000796	0.001154	0.068486	0.036823		0.036841		0.026147	0.026031
8300	0.187893	0.000807	0.001160	0.070095	0.037730		0.037645		0.026932	0.026748
8400	0.190523	0.000828	0.001179	0.071531	0.038450		0.038149		0.027107	0.026975
8500	0.195921	0.000868	0.001190	0.073271	0.039072		0.039296		0.027713	0.027765
8600	0.202887	0.000815	0.001208	0.075132	0.039943		0.039895		0.028306	0.028263
8700	0.205680	0.000843	0.001234	0.076949	0.040943		0.040733		0.029543	0.028997
8800	0.212460	0.000846	0.001248	0.078532	0.041910		0.041743		0.029921	0.029660
8900	0.219954	0.000876	0.001267	0.080490	0.043662		0.043501		0.030692	0.030649
9000	0.221434	0.000862	0.001295	0.082098	0.045126		0.043853		0.030996	0.030986
9100	0.229137	0.000879	0.001293	0.084162	0.045136		0.045313		0.031841	0.031902
9200	0.233111	0.000892	0.001291	0.086211	0.046049		0.045889		0.032373	0.032421
9300	0.238695	0.000884	0.001350	0.088663	0.046768		0.046912		0.033046	0.033127
9400	0.245273	0.000926	0.001387	0.090529	0.048426		0.048391		0.034112	0.034618
9500	0.250347	0.000941	0.001380	0.091934	0.048760		0.048865		0.034739	0.034731
9600	0.256697	0.000923	0.001397	0.094132	0.050206		0.050161		0.035869	0.036271
9700	0.259576	0.000951	0.001402	0.095444	0.051204		0.051313		0.036156	0.036163
9800	0.269560	0.000951	0.001456	0.097711	0.051975		0.052128		0.036894	0.036988
9900	0.275167	0.000977	0.001439	0.100893	0.054049		0.053894		0.037980	0.037943
10000	0.278270	0.000988	0.001459	0.102256	0.055181		0.054376		0.038072	0.038522
		BubbleSort	MergeSort	QuickSort	SleletionSort	InsertionSort	ShellSort	BinaryInsertionSort		BogoSort
